Temperature,Humidity,PM2_5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
20.4,44.9,4.6,9.2,38.5605,14.934000000000001,1180.38,10.2,545,Good
22.1,54.0,10.6,15.4,26.1459,23.318,1146.0,10.5,265,Good
24.9,63.5,6.1,13.9,32.3532,11.266,1352.28,16.4,390,Good
28.0,55.2,12.4,21.2,52.103699999999996,9.694,1134.54,10.6,467,Good
26.7,53.9,2.9,6.4,20.8791,17.291999999999998,1100.1599999999999,11.8,533,Good
25.5,73.4,13.8,21.4,48.341699999999996,9.956,1088.7,11.0,194,Good
28.2,49.6,17.0,21.7,37.0557,29.606,1134.54,11.1,214,Good
18.8,77.7,11.0,15.8,37.62,14.671999999999999,1249.14,11.2,409,Good
26.3,77.5,23.1,29.5,28.4031,9.694,1054.32,10.4,399,Good
23.0,50.7,1.1,5.0,46.6488,5.502000000000001,1283.5200000000002,12.4,593,Good
22.3,78.8,19.3,26.0,49.094100000000005,14.41,939.7199999999999,10.7,214,Good
21.4,76.9,2.3,6.7,44.0154,7.335999999999999,1249.14,14.7,338,Good
22.4,73.0,12.2,15.0,50.034600000000005,9.432,1111.62,12.9,266,Good
25.5,48.0,15.5,19.9,34.9866,20.174000000000003,1191.8400000000001,10.3,503,Good
29.3,67.5,1.9,5.0,22.760099999999998,11.790000000000001,1283.5200000000002,11.0,576,Good
23.7,40.0,20.7,23.0,38.3724,16.244,1203.3,12.5,318,Good
21.9,70.1,5.4,10.4,25.3935,2.8820000000000006,1249.14,12.5,224,Good
27.0,45.5,6.2,13.0,45.7083,13.100000000000001,1157.46,10.7,205,Good
23.5,51.6,0.0,8.3,44.2035,19.388,1054.32,19.7,450,Good
22.2,75.7,19.0,20.7,37.8081,13.886,1180.38,10.7,316,Good
21.0,60.5,4.6,8.9,28.4031,17.816,1065.78,10.2,378,Good
23.9,66.7,14.3,16.9,41.0058,20.436,1226.22,10.4,413,Good
24.6,45.1,0.4,6.4,39.8772,4.454,1077.24,10.1,226,Good
22.5,73.0,0.2,6.2,28.215,14.41,1088.7,14.2,543,Good
24.6,51.3,3.9,8.0,40.8177,15.458000000000002,1123.08,12.8,454,Good
22.3,75.4,0.7,4.7,44.579699999999995,19.126,1065.78,11.4,291,Good
28.3,40.6,2.3,6.9,47.5893,10.48,1008.48,12.5,590,Good
22.9,66.9,7.8,16.3,41.0058,21.222,1226.22,10.0,435,Good
22.9,40.5,3.7,7.3,25.2054,2.358,1283.5200000000002,12.6,246,Good
27.6,75.9,20.3,25.9,50.034600000000005,12.838000000000001,1272.0600000000002,10.8,334,Good
21.6,71.5,1.3,6.5,44.7678,12.576,1019.94,13.8,384,Good
24.2,64.4,1.1,7.2,22.0077,22.532,1237.68,10.9,239,Good
29.2,72.1,25.5,32.3,25.017300000000002,14.934000000000001,1237.68,10.9,358,Good
20.1,41.7,3.6,8.2,43.639199999999995,23.842,1111.62,10.4,370,Good
23.0,44.6,23.1,28.1,30.472199999999997,23.580000000000002,1088.7,10.0,437,Good
25.2,42.6,10.5,18.0,46.460699999999996,18.34,1019.94,10.8,517,Good
15.4,64.2,5.5,10.5,28.9674,10.741999999999999,1146.0,12.7,549,Good
21.8,61.9,27.4,31.3,44.7678,20.174000000000003,1100.1599999999999,10.8,340,Good
28.0,65.1,3.5,5.2,35.1747,20.698,1031.4,10.7,458,Good
31.3,46.6,1.4,7.5,41.0058,11.528000000000002,997.02,10.8,233,Good
23.2,57.5,17.8,26.2,20.691,7.598,1363.74,10.4,500,Good
14.1,54.5,3.6,8.3,32.7294,18.34,1134.54,10.1,238,Good
21.5,72.6,4.5,9.5,42.1344,12.314000000000002,1123.08,12.5,391,Good
31.1,56.4,10.7,17.0,24.2649,13.362,1226.22,10.0,572,Good
24.5,65.2,8.3,14.3,28.215,14.148000000000001,1146.0,11.2,368,Good
26.2,47.6,16.4,20.2,45.144,25.938000000000002,974.1,11.5,506,Good
28.7,64.6,12.1,17.6,26.7102,16.244,1191.8400000000001,11.1,600,Good
24.9,64.4,10.9,15.2,26.334,11.528000000000002,1283.5200000000002,10.5,354,Good
25.9,64.2,1.5,10.3,44.391600000000004,-1.048,1065.78,11.5,386,Good
22.8,65.1,3.1,10.6,20.8791,12.838000000000001,1008.48,12.0,500,Good
25.1,59.5,6.0,11.3,48.5298,1.8339999999999999,1031.4,10.7,231,Good
26.1,48.5,5.3,10.5,34.6104,13.100000000000001,1134.54,10.4,547,Good
25.5,38.3,3.6,8.8,35.9271,17.291999999999998,1203.3,17.8,379,Good
27.6,61.5,0.0,4.5,47.213100000000004,11.266,1226.22,11.0,536,Good
30.8,60.3,1.1,3.6,39.8772,13.362,1100.1599999999999,11.4,470,Good
23.7,51.7,19.1,22.2,45.144,18.34,1226.22,10.6,371,Good
28.4,48.0,11.1,17.7,28.4031,19.912,1214.76,16.4,334,Good
20.4,52.8,11.7,16.7,45.8964,6.026,1203.3,10.1,430,Good
23.4,54.7,10.2,12.8,21.4434,11.790000000000001,1294.9799999999998,10.9,362,Good
24.2,55.9,8.4,10.9,32.3532,18.864,1100.1599999999999,14.8,497,Good
23.3,42.6,7.4,10.6,44.579699999999995,13.624,1306.4399999999998,13.4,292,Good
29.6,83.0,4.0,14.1,41.7582,8.384,1203.3,11.9,225,Good
26.4,60.3,6.5,13.2,41.0058,13.362,1008.48,11.1,412,Good
23.9,61.8,3.2,9.9,34.9866,13.624,1065.78,13.6,438,Good
26.7,71.3,6.2,12.7,44.391600000000004,15.458000000000002,1191.8400000000001,11.1,389,Good
26.0,54.9,16.6,22.4,40.0653,18.34,1168.92,12.2,210,Good
28.2,68.1,7.2,9.1,39.1248,12.314000000000002,1226.22,10.2,379,Good
23.4,42.5,1.9,6.4,38.7486,11.266,1363.74,11.3,493,Good
25.6,52.6,1.9,3.6,25.3935,16.244,1226.22,11.4,492,Good
22.5,41.5,0.3,7.1,32.5413,8.384,1157.46,11.4,212,Good
31.7,47.3,1.2,6.9,21.6315,14.41,1352.28,15.7,451,Good
21.5,73.3,1.8,8.5,34.9866,21.746000000000002,1077.24,13.1,207,Good
27.2,43.8,18.4,23.1,40.4415,6.812,1180.38,12.1,253,Good
29.7,74.4,0.6,6.0,42.1344,9.17,848.04,11.6,583,Good
25.0,75.7,4.7,9.3,39.8772,13.624,1317.8999999999999,16.0,541,Good
21.5,74.6,0.3,8.1,29.9079,16.506,1168.92,15.6,381,Good
24.1,47.5,22.8,26.0,49.8465,10.741999999999999,1042.8600000000001,12.2,406,Good
25.8,76.6,8.6,16.5,42.1344,16.244,1134.54,16.7,514,Good
24.7,51.4,18.6,23.5,32.1651,14.41,1157.46,12.1,443,Good
28.3,52.1,5.1,9.8,36.3033,7.074000000000001,1031.4,10.9,271,Good
26.3,54.7,2.0,8.2,52.4799,8.908,1203.3,17.0,330,Good
26.5,52.8,1.2,10.0,49.8465,8.908,1042.8600000000001,12.1,377,Good
20.3,66.8,18.9,21.1,47.9655,13.100000000000001,1100.1599999999999,11.3,416,Good
26.2,41.0,0.3,6.4,44.0154,19.126,1203.3,10.5,432,Good
24.6,46.5,5.9,13.0,26.7102,17.554000000000002,1100.1599999999999,10.5,547,Good
24.3,72.9,1.9,10.4,42.6987,5.502000000000001,1019.94,10.8,300,Good
22.7,70.9,15.8,19.6,32.7294,14.671999999999999,1134.54,11.4,516,Good
23.8,57.9,21.9,27.3,41.1939,11.266,1168.92,11.1,336,Good
29.0,51.7,8.4,13.0,31.0365,13.100000000000001,1157.46,10.1,226,Good
27.7,69.1,13.6,19.1,40.6296,12.052,1226.22,10.5,231,Good
24.6,64.6,17.1,20.3,38.5605,17.554000000000002,1031.4,10.5,355,Good
21.9,77.4,21.1,27.8,39.6891,11.790000000000001,1180.38,10.0,384,Good
23.7,75.4,8.4,15.0,45.520199999999996,6.812,1157.46,11.5,275,Good
26.7,41.8,1.5,6.5,47.9655,6.550000000000001,1226.22,10.5,303,Good
20.0,79.1,1.4,3.5,42.3225,12.576,1019.94,10.3,407,Good
21.8,69.0,0.7,7.9,19.1862,16.506,1088.7,11.6,489,Good
20.5,58.3,1.8,6.7,27.4626,12.576,893.88,16.0,260,Good
25.4,59.1,16.0,16.6,28.591199999999997,17.816,1191.8400000000001,10.5,439,Good
24.1,65.6,0.2,7.1,46.460699999999996,15.982,1260.6000000000001,13.2,370,Good
23.5,62.5,1.8,7.3,47.401199999999996,8.908,1329.36,11.7,501,Good
22.1,50.4,4.0,11.5,26.898300000000003,25.413999999999998,1088.7,13.6,466,Good
29.6,44.2,24.7,27.3,51.7275,20.174000000000003,1157.46,10.5,315,Good
26.6,54.5,3.9,10.3,45.520199999999996,14.41,1249.14,10.3,580,Good
24.7,79.4,5.9,9.0,36.3033,1.8339999999999999,1042.8600000000001,10.6,219,Good
28.7,63.6,4.2,10.2,39.1248,8.384,1054.32,11.6,487,Good
20.8,68.0,7.4,11.4,19.9386,19.388,1088.7,10.8,316,Good
21.7,45.4,19.9,25.3,42.8868,10.218,893.88,13.8,385,Good
19.4,70.6,8.2,14.2,39.6891,1.048,1134.54,10.2,262,Good
26.0,68.3,7.8,13.9,22.0077,7.074000000000001,1134.54,12.3,307,Good
20.5,80.0,1.0,3.2,44.391600000000004,7.335999999999999,1042.8600000000001,13.4,276,Good
24.3,44.2,9.5,12.5,35.3628,-0.524,951.18,10.6,341,Good
23.1,43.1,4.1,7.9,42.6987,20.96,1180.38,10.1,499,Good
19.6,55.5,0.1,3.9,35.5509,13.886,1260.6000000000001,10.6,198,Good
26.3,66.7,1.3,5.7,30.848399999999998,15.458000000000002,1111.62,15.6,205,Good
24.0,56.9,2.9,6.9,24.453,21.483999999999998,1306.4399999999998,11.3,360,Good
24.3,48.2,16.8,25.9,36.4914,10.218,1111.62,14.8,544,Good
25.3,77.0,4.6,11.2,37.8081,16.768,1180.38,11.3,282,Good
22.6,46.7,19.2,26.8,49.8465,17.554000000000002,939.7199999999999,13.7,354,Good
30.8,47.7,11.0,16.4,48.341699999999996,14.41,1272.0600000000002,10.1,332,Good
22.5,68.9,3.9,8.4,24.076800000000002,12.576,1237.68,10.5,447,Good
27.3,67.7,2.4,9.2,46.272600000000004,19.912,1294.9799999999998,11.1,249,Good
26.3,47.2,3.0,5.5,46.460699999999996,1.8339999999999999,1237.68,10.7,368,Good
23.5,67.6,0.2,4.3,46.0845,16.768,1363.74,14.6,412,Good
28.2,50.1,8.9,16.9,33.1056,2.096,1203.3,10.4,291,Good
25.6,49.2,1.5,5.8,20.5029,9.956,1191.8400000000001,15.7,293,Good
25.6,66.5,8.5,14.5,24.2649,9.694,1077.24,13.2,354,Good
24.9,47.8,3.3,7.8,32.1651,17.554000000000002,1203.3,13.4,581,Good
24.8,58.3,13.8,19.1,27.2745,24.89,1146.0,12.2,437,Good
27.8,49.2,9.9,14.9,44.7678,19.388,1191.8400000000001,10.5,441,Good
27.1,51.4,33.1,36.6,22.760099999999998,22.008000000000003,1180.38,11.1,241,Good
26.6,38.3,9.7,14.7,38.1843,13.624,1226.22,11.4,375,Good
24.4,48.1,14.8,19.8,46.0845,11.266,997.02,12.0,381,Good
29.6,53.4,2.6,9.9,41.7582,12.052,1249.14,13.7,297,Good
20.9,69.9,0.4,6.7,43.639199999999995,11.528000000000002,997.02,15.2,520,Good
25.7,42.0,10.0,17.4,42.6987,18.864,1329.36,10.4,384,Good
23.7,73.8,3.1,4.2,20.8791,10.741999999999999,1111.62,14.5,447,Good
21.2,64.0,0.8,7.1,29.531699999999997,12.314000000000002,997.02,13.1,456,Good
23.1,43.9,5.9,8.1,38.3724,14.148000000000001,1214.76,11.1,564,Good
21.7,53.2,10.9,15.2,47.7774,17.554000000000002,1168.92,16.2,301,Good
23.5,46.1,2.8,8.1,45.8964,16.768,1249.14,11.9,357,Good
24.0,45.4,0.8,6.6,25.3935,13.100000000000001,1272.0600000000002,12.1,603,Good
33.6,46.6,4.1,9.1,39.501,15.196,1054.32,13.8,204,Good
23.9,56.6,43.9,53.1,31.0365,18.602,1294.9799999999998,10.8,520,Good
20.5,56.2,3.8,10.4,23.136300000000002,8.122,1123.08,14.5,459,Good
26.8,60.5,1.3,9.1,30.848399999999998,12.052,1077.24,11.5,359,Good
20.9,50.7,0.7,7.2,21.6315,8.384,939.7199999999999,12.2,298,Good
26.4,58.4,10.6,15.2,49.6584,17.816,1146.0,10.0,350,Good
28.4,38.8,1.8,8.4,19.7505,14.671999999999999,1134.54,12.5,560,Good
24.1,67.6,2.9,8.9,20.3148,11.528000000000002,1100.1599999999999,12.4,480,Good
25.9,44.8,1.7,7.4,45.8964,16.768,1111.62,10.4,574,Good
26.7,56.9,5.8,10.7,32.5413,14.934000000000001,951.18,10.9,257,Good
30.7,76.4,13.8,18.9,44.2035,7.335999999999999,1031.4,12.9,302,Good
24.2,58.2,35.6,39.3,31.412699999999997,13.100000000000001,1054.32,10.6,360,Good
16.4,46.2,16.8,20.2,30.096,4.192,916.8000000000001,14.4,189,Good
31.1,75.3,1.5,4.9,39.6891,5.24,1306.4399999999998,10.5,337,Good
26.5,59.9,92.7,98.0,47.7774,-1.31,1054.32,11.6,485,Good
22.0,69.7,32.0,34.7,54.3609,9.956,1386.6599999999999,10.6,239,Good
24.1,70.9,5.0,9.7,32.7294,5.764000000000001,1111.62,13.7,366,Good
24.1,43.5,0.0,5.1,25.957800000000002,13.624,1042.8600000000001,11.8,399,Good
27.1,50.4,45.6,51.1,26.898300000000003,16.768,1260.6000000000001,10.3,371,Good
27.7,76.3,12.7,17.5,46.8369,20.436,1168.92,11.5,536,Good
25.0,77.9,2.1,8.6,23.136300000000002,-0.786,1249.14,14.1,269,Good
24.3,67.2,7.3,11.5,45.8964,10.48,1306.4399999999998,11.3,277,Good
24.0,57.3,0.0,4.7,53.0442,14.934000000000001,1019.94,10.9,442,Good
22.3,74.3,6.5,10.9,38.9367,19.912,1054.32,13.0,210,Good
27.0,45.8,1.7,6.0,24.453,18.078000000000003,1054.32,10.9,233,Good
23.5,66.6,13.7,20.0,37.9962,15.458000000000002,882.4200000000001,11.3,347,Good
26.9,45.5,15.2,19.5,25.957800000000002,16.244,1042.8600000000001,11.5,239,Good
23.6,51.9,11.0,13.6,52.4799,11.266,1375.2,12.1,474,Good
23.4,60.7,9.9,14.5,41.9463,12.838000000000001,1031.4,13.2,329,Good
21.5,54.4,24.5,28.6,33.4818,14.41,1042.8600000000001,10.9,289,Good
24.4,48.1,21.9,29.7,20.8791,33.274,1111.62,10.6,572,Good
29.1,65.7,1.2,5.7,47.9655,14.41,1088.7,11.3,576,Good
28.5,58.2,1.5,9.5,32.1651,12.576,951.18,10.7,376,Good
31.7,58.9,36.2,39.9,38.5605,14.934000000000001,1077.24,14.0,565,Good
26.2,51.7,3.5,9.0,51.915600000000005,14.934000000000001,1123.08,10.1,542,Good
25.9,79.1,16.3,22.0,34.6104,7.074000000000001,1031.4,10.3,387,Good
22.8,73.0,0.6,5.4,45.332100000000004,11.004000000000001,997.02,10.6,381,Good
28.2,39.4,6.3,11.6,49.282199999999996,18.602,1054.32,15.2,289,Good
24.6,46.5,2.7,9.2,34.6104,9.956,1249.14,10.2,296,Good
27.7,51.1,16.1,20.2,48.906,15.72,1134.54,10.6,562,Good
21.5,65.3,13.8,19.2,23.5125,14.934000000000001,1203.3,11.2,230,Good
24.3,62.7,6.6,15.4,42.3225,28.558000000000003,1054.32,10.4,437,Good
24.5,63.2,2.0,8.7,43.0749,13.100000000000001,1226.22,12.3,561,Good
17.0,78.5,19.2,23.3,27.838800000000003,1.572,1226.22,13.0,501,Good
20.1,66.0,1.0,3.5,31.977,6.812,1168.92,10.6,573,Good
20.3,64.8,37.3,42.7,40.2534,8.384,1180.38,10.0,335,Good
27.2,53.8,37.7,44.2,34.2342,12.052,1019.94,13.7,197,Good
27.6,44.8,9.8,10.1,36.1152,12.838000000000001,1157.46,10.8,407,Good
25.1,61.9,10.8,17.0,25.017300000000002,2.8820000000000006,997.02,10.7,401,Good
26.8,65.2,9.7,15.8,25.2054,20.174000000000003,928.2600000000001,12.8,282,Good
25.2,62.9,4.1,12.3,51.915600000000005,22.008000000000003,1180.38,10.9,276,Good
23.9,54.6,0.8,5.8,33.858,-1.572,1054.32,13.2,363,Good
27.4,52.2,14.5,18.2,24.2649,6.550000000000001,1294.9799999999998,11.1,560,Good
31.8,49.6,35.1,41.7,25.957800000000002,1.572,1340.82,10.1,428,Good
23.1,77.7,5.6,11.8,39.8772,11.790000000000001,1031.4,10.5,385,Good
25.7,68.7,12.4,16.9,18.81,15.72,1421.04,10.3,470,Good
29.9,45.5,6.8,14.3,36.4914,24.628000000000004,1123.08,11.5,536,Good
24.8,78.7,17.4,21.7,45.520199999999996,8.908,848.04,12.6,580,Good
28.1,67.7,26.4,34.1,42.8868,12.838000000000001,985.56,13.6,238,Good
24.5,70.4,2.2,9.0,20.5029,13.362,1077.24,14.6,228,Good
34.1,76.7,3.5,10.5,41.1939,10.218,1409.58,10.4,299,Good
21.9,67.3,12.2,16.1,45.332100000000004,12.576,1054.32,10.3,244,Good
32.8,74.0,10.1,15.5,50.222699999999996,14.934000000000001,974.1,11.2,199,Good
24.0,64.7,6.5,10.9,34.6104,4.978,1146.0,10.6,455,Good
28.7,59.3,6.3,16.3,41.9463,14.934000000000001,1180.38,10.8,213,Good
18.5,54.2,11.8,19.9,24.2649,14.41,1306.4399999999998,10.1,314,Good
32.6,69.9,5.7,14.7,21.255300000000002,18.078000000000003,1134.54,10.6,536,Good
24.4,53.9,8.0,13.3,31.977,13.886,962.64,10.8,335,Good
21.9,74.0,14.4,19.4,32.9175,11.266,1226.22,10.1,483,Good
31.0,42.0,8.4,12.3,28.4031,19.126,1008.48,11.8,594,Good
29.9,46.2,5.9,12.2,25.017300000000002,12.314000000000002,1134.54,10.0,377,Good
19.7,68.0,4.7,8.4,46.6488,14.41,882.4200000000001,10.6,297,Good
19.7,42.8,13.1,20.8,40.0653,9.17,1100.1599999999999,11.3,452,Good
23.6,42.9,24.6,27.4,40.0653,17.554000000000002,1008.48,10.9,562,Good
24.1,61.0,10.3,15.5,37.62,10.741999999999999,1077.24,14.3,203,Good
21.9,69.6,7.1,9.6,46.460699999999996,6.812,1272.0600000000002,12.7,423,Good
28.3,64.4,5.8,11.8,38.5605,10.48,1123.08,11.6,485,Good
23.4,67.7,55.9,57.8,39.3129,18.078000000000003,1065.78,11.2,364,Good
24.3,74.5,2.4,8.1,48.906,20.698,1249.14,12.8,329,Good
26.8,50.5,3.5,7.3,23.136300000000002,12.576,1317.8999999999999,12.3,262,Good
25.8,70.1,7.1,10.7,49.8465,10.741999999999999,1077.24,11.2,344,Good
29.3,67.6,11.4,16.8,50.222699999999996,23.842,951.18,10.9,488,Good
23.6,49.7,10.3,14.0,33.6699,14.41,997.02,10.9,595,Good
24.3,76.5,27.1,34.1,44.0154,8.122,1123.08,11.0,387,Good
21.9,71.4,15.0,19.3,34.2342,4.192,1146.0,18.8,505,Good
21.2,55.9,7.8,10.7,37.0557,19.912,1306.4399999999998,12.1,436,Good
24.4,67.7,0.3,4.3,31.977,18.078000000000003,1065.78,13.3,370,Good
26.2,36.9,4.4,10.8,48.906,8.384,1146.0,21.8,221,Good
27.4,73.3,4.1,8.8,32.9175,7.335999999999999,1306.4399999999998,12.3,337,Good
31.5,48.2,6.7,11.7,29.3436,9.694,1478.3400000000001,11.6,269,Good
30.6,71.3,12.1,16.0,27.838800000000003,14.41,1157.46,10.6,500,Good
24.5,47.0,7.0,10.9,48.153600000000004,20.698,985.56,11.1,458,Good
23.1,72.0,0.4,7.5,26.1459,21.222,1088.7,10.2,310,Good
26.6,67.8,11.2,12.1,53.2323,10.741999999999999,1157.46,11.9,551,Good
29.9,74.6,5.4,10.0,34.4223,8.908,1123.08,12.7,263,Good
24.5,51.9,14.5,21.4,25.2054,9.694,1237.68,11.3,379,Good
18.5,51.6,3.8,6.4,49.4703,21.746000000000002,1340.82,10.6,215,Good
25.2,44.3,5.5,12.4,41.382,8.908,1214.76,10.1,470,Good
26.2,65.8,12.5,16.9,27.6507,9.17,1054.32,12.0,432,Good
26.5,54.1,12.3,15.3,38.1843,13.886,1134.54,12.7,374,Good
28.2,52.0,15.9,19.6,39.501,13.886,1329.36,19.4,496,Good
31.1,64.9,3.7,11.2,40.0653,20.698,1168.92,11.5,233,Good
22.0,52.2,12.3,19.1,51.3513,12.838000000000001,985.56,12.0,316,Good
20.3,56.2,21.8,28.8,35.5509,7.074000000000001,1100.1599999999999,10.2,335,Good
24.1,60.2,2.5,10.1,43.639199999999995,13.100000000000001,905.34,11.2,488,Good
25.0,68.6,9.8,13.2,43.451100000000004,11.004000000000001,1123.08,11.1,578,Good
26.5,54.9,0.9,3.5,23.700599999999998,15.982,1157.46,14.5,368,Good
18.9,57.2,6.0,9.6,36.3033,2.8820000000000006,1065.78,12.4,409,Good
23.2,73.9,1.6,5.5,25.957800000000002,11.004000000000001,1123.08,14.0,494,Good
32.8,51.1,8.0,13.4,25.017300000000002,12.052,1065.78,11.9,410,Good
25.8,76.0,9.3,13.3,35.3628,10.48,1019.94,13.3,321,Good
25.7,78.3,1.2,8.0,34.7985,13.886,1249.14,16.4,526,Good
29.6,65.3,13.3,19.6,30.096,13.362,1157.46,15.5,198,Good
22.4,46.5,7.1,12.7,52.2918,8.908,1054.32,10.9,473,Good
24.4,70.5,28.9,39.2,35.1747,15.458000000000002,1088.7,12.9,342,Good
31.7,67.7,7.0,11.0,50.4108,18.34,1352.28,10.4,530,Good
26.8,39.3,10.0,12.5,39.3129,14.934000000000001,1146.0,10.6,494,Good
31.1,67.6,2.2,5.5,21.255300000000002,2.096,1283.5200000000002,10.8,344,Good
32.0,58.7,5.2,8.9,35.739,7.86,1157.46,11.1,437,Good
26.6,44.0,3.5,7.1,44.9559,18.864,1111.62,11.0,417,Good
23.3,55.0,2.0,12.5,36.1152,14.934000000000001,1283.5200000000002,10.6,339,Good
23.6,46.8,3.1,8.1,22.9482,8.384,1214.76,10.2,543,Good
21.4,42.0,3.6,6.6,37.0557,3.406,1226.22,20.0,473,Good
26.6,68.5,10.4,16.2,48.341699999999996,5.764000000000001,974.1,10.9,231,Good
22.0,71.9,6.8,9.7,46.460699999999996,19.126,1214.76,10.5,542,Good
25.7,57.0,16.2,21.2,36.1152,0.262,1146.0,10.8,323,Good
27.3,57.7,4.9,10.6,33.6699,3.6679999999999997,1054.32,12.8,397,Good
25.4,45.4,1.9,9.7,49.6584,19.388,1168.92,13.8,558,Good
29.4,68.8,22.8,25.4,26.898300000000003,14.934000000000001,1226.22,12.2,358,Good
26.7,67.6,3.9,7.9,44.2035,16.244,1134.54,10.4,366,Good
26.1,58.4,9.8,16.3,48.153600000000004,18.602,1019.94,14.8,458,Good
28.3,39.7,52.1,56.7,54.3609,1.572,1134.54,15.1,384,Good
22.2,78.5,5.7,7.5,37.0557,13.100000000000001,1317.8999999999999,13.1,514,Good
19.8,53.7,17.0,19.9,29.9079,18.34,1191.8400000000001,10.8,564,Good
28.5,47.7,0.0,5.3,49.282199999999996,6.812,1294.9799999999998,12.2,474,Good
34.2,51.9,4.1,11.6,27.2745,14.148000000000001,1340.82,10.2,421,Good
26.6,72.4,30.3,31.5,42.3225,11.528000000000002,1203.3,11.8,320,Good
26.7,66.0,0.5,5.4,39.3129,-1.572,997.02,10.1,422,Good
28.7,63.2,10.7,16.8,41.382,16.768,870.96,15.0,319,Good
24.8,60.1,0.1,1.7,32.9175,15.458000000000002,1134.54,13.3,457,Good
28.4,48.3,13.5,15.7,34.2342,10.741999999999999,1375.2,10.2,503,Good
23.6,55.5,1.2,2.2,46.0845,25.413999999999998,1180.38,10.5,349,Good
24.7,46.2,22.9,25.0,27.0864,13.100000000000001,893.88,10.1,356,Good
22.1,64.6,13.1,17.7,29.3436,12.838000000000001,1134.54,10.5,468,Good
23.8,54.2,2.6,5.1,35.1747,17.816,1283.5200000000002,12.2,351,Good
23.2,60.0,4.7,7.3,49.4703,19.650000000000002,1123.08,11.5,535,Good
20.2,61.3,21.3,25.9,26.5221,18.602,1042.8600000000001,10.5,577,Good
22.0,50.9,23.6,28.9,35.739,12.052,1168.92,10.1,303,Good
29.1,52.6,14.0,18.7,33.1056,20.174000000000003,1191.8400000000001,10.4,456,Good
21.7,50.0,21.5,25.1,22.9482,18.34,1294.9799999999998,11.1,311,Good
28.1,39.9,2.8,7.6,34.2342,12.576,1237.68,10.8,470,Good
25.5,43.5,5.2,9.6,45.8964,23.056000000000004,1123.08,11.4,284,Good
25.0,49.7,1.1,5.4,33.6699,13.100000000000001,1317.8999999999999,10.5,447,Good
24.9,56.5,2.4,7.0,34.9866,15.982,1283.5200000000002,13.7,333,Good
25.9,78.4,27.5,33.5,48.906,11.266,1180.38,11.2,360,Good
20.3,75.5,8.6,14.6,27.6507,12.052,1134.54,16.3,297,Good
25.8,77.7,21.7,29.9,25.581599999999998,16.506,974.1,12.4,549,Good
26.1,46.3,4.7,10.9,36.3033,8.384,1352.28,17.6,471,Good
28.8,42.9,4.8,12.8,33.2937,5.24,997.02,10.1,561,Good
